genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Aspergillus_nidulans_FGSC_A4,antismash,BGC,Hybrid,5,3,8
Aspergillus_nidulans_FGSC_A4,antismash,BGC,NRPS,16,0,16
Aspergillus_nidulans_FGSC_A4,antismash,BGC,PKS,14,1,15
Aspergillus_nidulans_FGSC_A4,antismash,BGC,other,4,1,5
Aspergillus_nidulans_FGSC_A4,antismash,BGC,terpene,11,6,17
Aspergillus_nidulans_FGSC_A4,funbgcex,BGC,Hybrid,5,1,6
Aspergillus_nidulans_FGSC_A4,funbgcex,BGC,NRPS,16,4,20
Aspergillus_nidulans_FGSC_A4,funbgcex,BGC,PKS,14,5,19
Aspergillus_nidulans_FGSC_A4,funbgcex,BGC,other,4,3,7
Aspergillus_nidulans_FGSC_A4,funbgcex,BGC,terpene,11,0,11
Aspergillus_nidulans_FGSC_A4,antismash,GCF,NRPS,1,16,17
Aspergillus_nidulans_FGSC_A4,antismash,GCF,NRPS;PKS,0,4,4
Aspergillus_nidulans_FGSC_A4,antismash,GCF,NRPS;PKS;terpene,0,1,1
Aspergillus_nidulans_FGSC_A4,antismash,GCF,NRPS;terpene,0,2,2
Aspergillus_nidulans_FGSC_A4,antismash,GCF,PKS,0,18,18
Aspergillus_nidulans_FGSC_A4,antismash,GCF,PKS;terpene,0,1,1
Aspergillus_nidulans_FGSC_A4,antismash,GCF,other,0,6,6
Aspergillus_nidulans_FGSC_A4,antismash,GCF,terpene,0,17,17
Darksidea_phi_DS919,antismash,BGC,Hybrid,8,2,10
Darksidea_phi_DS919,antismash,BGC,NRPS,13,0,13
Darksidea_phi_DS919,antismash,BGC,PKS,25,0,25
Darksidea_phi_DS919,antismash,BGC,RiPP,0,0,0
Darksidea_phi_DS919,antismash,BGC,other,6,2,8
Darksidea_phi_DS919,antismash,BGC,terpene,15,4,19
Darksidea_phi_DS919,funbgcex,BGC,Hybrid,8,0,8
Darksidea_phi_DS919,funbgcex,BGC,NRPS,13,3,16
Darksidea_phi_DS919,funbgcex,BGC,PKS,25,2,27
Darksidea_phi_DS919,funbgcex,BGC,RiPP,0,2,2
Darksidea_phi_DS919,funbgcex,BGC,other,6,6,12
Darksidea_phi_DS919,funbgcex,BGC,terpene,15,6,21
Darksidea_phi_DS919,antismash,GCF,NRPS,1,12,13
Darksidea_phi_DS919,antismash,GCF,NRPS;PKS,0,6,6
Darksidea_phi_DS919,antismash,GCF,NRPS;PKS;terpene,0,1,1
Darksidea_phi_DS919,antismash,GCF,NRPS;terpene,0,1,1
Darksidea_phi_DS919,antismash,GCF,PKS,0,25,25
Darksidea_phi_DS919,antismash,GCF,PKS;terpene,0,2,2
Darksidea_phi_DS919,antismash,GCF,other,0,8,8
Darksidea_phi_DS919,antismash,GCF,terpene,0,19,19
